order_id,customer_id,order_date,amount,product_category
5001,1654,2024-04-20,396.18,Home
5002,1170,2025-05-06,308.27,Electronics
5003,1932,2025-02-17,365.82,Home
5004,1775,2023-12-19,132.31,Books
5005,1149,2024-01-08,113.04,Electronics
5006,1864,2025-06-15,355.97,Electronics
5007,1002,2025-03-19,66.87,Toys
5008,1651,2025-10-09,443.95,Toys
5009,1239,2025-10-09,93.09,Toys
5010,1731,2025-07-30,57.06,Sports
5011,1625,2025-07-07,420.37,Clothing
5012,1176,2025-09-07,93.66,Books
5013,1308,2024-01-14,7.98,Books
5014,1680,2024-01-23,374.61,Clothing
5015,1737,2024-10-03,82.98,Sports
5016,1176,2025-09-10,83.6,Books
5017,1347,2024-05-01,360.66,Home
5018,1914,2025-03-24,59.37,Sports
5019,1235,2024-12-07,342.24,Books
5020,1102,2025-02-09,160.68,Electronics
5021,1237,2025-08-26,243.21,Toys
5022,1145,2024-09-23,190.14,Clothing
5023,1018,2025-05-07,309.04,Books
5024,1524,2024-02-23,26.9,Toys
5025,1408,2025-02-21,264.7,Toys
5026,1280,2024-03-31,201.07,Home
5027,1504,2025-07-16,429.05,Sports
5028,1354,2024-06-18,434.06,Toys
5029,1508,2023-12-15,216.94,Sports
5030,1567,2024-10-18,367.58,Sports
5031,1798,2024-08-11,120.79,Books
5032,1550,2024-02-01,265.8,Clothing
5033,1305,2023-12-08,482.26,Books
5034,1543,2025-10-31,177.64,Sports
5035,1995,2025-06-11,183.64,Toys
5036,1368,2024-04-09,161.97,Toys
5037,1650,2024-02-13,92.93,Sports
5038,1629,2024-07-22,408.82,Clothing
5039,1524,2024-03-26,249.13,Toys
5040,1493,2024-05-03,329.49,Sports
5041,1724,2024-09-26,330.93,Electronics
5042,1587,2024-03-15,407.59,Toys
5043,1568,2023-11-15,181.66,Sports
5044,1661,2025-03-07,83.81,Sports
5045,1792,2025-02-01,268.39,Home
5046,1595,2024-11-21,81.25,Clothing
5047,1060,2025-04-13,46.06,Toys
5048,1232,2024-08-04,367.29,Books
5049,1298,2024-06-09,14.46,Toys
5050,1133,2023-12-29,6.11,Sports
5051,1100,2024-05-27,162.97,Clothing
5052,1940,2023-12-04,448.45,Home
5053,1116,2023-12-25,396.27,Sports
5054,1488,2025-04-09,395.54,Electronics
5055,1307,2024-05-06,159.03,Electronics
5056,1984,2024-09-19,83.05,Electronics
5057,1869,2025-09-14,497.13,Toys
5058,1044,2024-09-07,207.22,Sports
5059,1777,2024-06-18,451.59,Clothing
5060,1908,2025-02-02,326.81,Sports
5061,1098,2025-05-10,110.02,Clothing
5062,1687,2025-02-21,124.52,Clothing
5063,1014,2024-11-29,84.73,Sports
